time,t(s),T_{env},P_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
1729573170.1349485,69423.826,21.76953125,1024.6613433219077,21.875,22.0,22.0,22.187,21.4517578125,21.11796875,21.344921875,21.4435546875,1024.4617126759686,1024.0288837620576,1024.34897345965,1023.4353523207853,100,100,67.68954011320902,59.26284706572105,4.095875,4.095875,4.095875,0.7135,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573200.1360688,69453.827,21.774609375,1024.6561550304202,21.875,22.0,21.937,22.125,21.4416015625,21.123046875,21.344921875,21.4435546875,1024.4698959132504,1024.0391820486032,1024.3500978004513,1023.4166406870057,100,100,67.49849435714572,58.99909734053163,4.095875,4.095875,4.095875,0.719375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573230.1372561,69483.829,21.7796875,1024.664564931557,21.875,22.0,22.0,22.187,21.4466796875,21.1283203125,21.35,21.4384765625,1024.4398456538538,1023.9920129549054,1024.3353318295467,1023.4268470316341,100,100,67.53184493935309,59.3013088462261,4.095875,4.095875,4.095875,0.749125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573260.1391664,69513.83,21.7796875,1024.6611653348293,21.812,22.0,21.937,22.187,21.4466796875,21.1283203125,21.33984375,21.4435546875,1024.4783450058173,1024.0305432252094,1024.3703022643174,1023.481085223694,100,100,67.38025221281445,59.03159859816407,4.095875,4.095875,4.095875,0.712,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573290.1403694,69543.832,21.7796875,1024.6543661422288,21.875,22.0,21.937,22.187,21.4416015625,21.1283203125,21.33984375,21.4384765625,1024.466888379754,1024.0401365915504,1024.363223112433,1023.4447645052281,100,100,67.7603781904097,58.75089770701275,4.095875,4.095875,4.095875,0.70325,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573320.1422513,69573.834,21.7796875,1024.66125438358,21.875,22.0,21.937,22.125,21.4416015625,21.123046875,21.3298828125,21.4333984375,1024.4407018180414,1024.0504350377716,1024.3408616398049,1023.4511772635082,100,100,67.52606192712747,59.213159209963365,4.095875,4.095875,4.095875,0.696125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573350.1439524,69603.835,21.7796875,1024.662363277428,21.875,22.0,21.937,22.187,21.4466796875,21.123046875,21.3248046875,21.4384765625,1024.4698959132504,1024.0388188836341,1024.3654712027317,1023.4700843314328,100,100,67.53729439341546,58.839274360287746,4.095875,4.095875,4.095875,0.68025,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573380.1457193,69633.837,21.7998046875,1024.6538641512298,21.875,22.0,21.937,22.187,21.4466796875,21.11796875,21.3248046875,21.4384765625,1024.4731692086252,1024.050093213154,1024.3763484286596,1023.4698887686826,100,100,67.53696072031825,59.059541805320336,4.095875,4.095875,4.095875,0.68975,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573410.1476035,69663.839,21.7947265625,1024.684461013875,21.875,22.0,21.937,22.187,21.4466796875,21.1283203125,21.344921875,21.4333984375,1024.450256146546,1024.090989431532,1024.3528626647628,1023.4447645052281,100,100,67.69021091490242,59.25162111592039,4.095875,4.095875,4.095875,0.70125,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1729573440.1495645,69693.841,21.7998046875,1024.6825826790312,21.875,22.0,21.937,22.187,21.4517578125,21.11796875,21.344921875,21.4384765625,1024.5118759611403,1024.0607552581469,1024.4042397397372,1023.4744766738424,100,100,67.68987551902553,59.08654636884872,4.095875,4.095875,4.095875,0.722875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
