t(s),T_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
75874.078,22.5,21.875,22.0,22.0,22.125,21.2734375,20.9212890625,21.1681640625,21.2314453125,1006.7030202932978,1007.4870732858263,1007.5611467950081,1007.3740926582992,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9523735408560312,1.6078370336461434
75904.08,22.5,21.875,22.062,22.0,22.125,21.2837890625,20.9212890625,21.1681640625,21.2212890625,1006.624263827604,1007.4091356201902,1007.5283560191216,1007.379931892091,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9687800411993592,1.5750240329594873
75934.082,22.5,21.875,22.062,22.0,22.125,21.2888671875,20.9212890625,21.1783203125,21.2212890625,1006.6787402050412,1007.4440620493702,1007.5217978671265,1007.3598546400857,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9359670405127034,1.6898695353627833
75964.084,22.5,21.875,22.0,22.0,22.125,21.2939453125,20.916015625,21.1833984375,21.2314453125,1006.6854085103588,1007.4442709135925,1007.5434966859195,1007.3632541862645,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9523735408560312,1.5914305333028154
75994.085,22.5,21.875,22.0,22.0,22.187,21.2734375,20.9263671875,21.1833984375,21.2416015625,1006.6705625331356,1007.4307958525435,1007.5103211036873,1007.370798178961,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9687800411993592,1.6242435339894714
76024.086,22.5,21.937,22.0,21.937,22.187,21.2939453125,20.931640625,21.1783203125,21.2466796875,1006.6937123781021,1007.4158713863018,1007.5393472904008,1007.345301182961,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9195605401693752,1.6898695353627833
76054.088,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.931640625,21.1833984375,21.2515625,1006.7133391197369,1007.4426126250725,1007.537323146105,1007.39703435145,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9523735408560312,1.6406500343327994
76084.09,22.5,21.875,22.0,22.0,22.187,21.2939453125,20.931640625,21.18828125,21.2515625,1006.6803757396202,1007.435979471671,1007.5356835813287,1007.3358400733076,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9687800411993592,1.6734630350194555
76114.091,22.5,21.937,22.0,22.0,22.187,21.2990234375,20.93671875,21.193359375,21.266796875,1006.7313303079152,1007.4409543366204,1007.5544880925571,1007.3596378371662,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9523735408560312,1.6898695353627833
76144.093,22.5,21.875,22.0,22.0,22.187,21.2939453125,20.93671875,21.193359375,21.2515625,1006.7017639930932,1007.4440620493702,1007.5282546319402,1007.36951622708,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9195605401693752,1.9523735408560312,1.6734630350194555
76174.095,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.93671875,21.1833984375,21.2515625,1006.7325862284364,1007.4574339964198,1007.5737784440478,1007.4109533089774,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.9187640192263676,1.9687800411993592,1.9195605401693752,1.6406500343327994
76204.097,22.5,21.875,22.0,21.937,22.187,21.2939453125,20.9419921875,21.1833984375,21.26171875,1006.7541015821798,1007.502311054517,1007.59711750226,1007.4259316815657,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9359670405127034,1.9523735408560312,1.6406500343327994
76234.099,22.5,21.937,22.0,21.937,22.187,21.2837890625,20.931640625,21.193359375,21.2466796875,1006.7456704192653,1007.5139190926718,1007.6229658571199,1007.419452456206,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9687800411993592,1.6570565346761272
76264.101,22.5,21.875,22.062,21.937,22.187,21.2888671875,20.9419921875,21.1833984375,21.2466796875,1006.7737281955051,1007.5170262095041,1007.570499285298,1007.4265717569485,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9687800411993592,1.6242435339894714
76294.103,22.5,21.875,22.0,22.0,22.187,21.2939453125,20.9419921875,21.1833984375,21.2515625,1006.7359839545643,1007.4955740462735,1007.6012662240901,1007.4613084927128,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9687800411993592,1.9523735408560312,1.6078370336461434
76324.104,22.5,21.875,22.0,22.0,22.187,21.2939453125,20.93671875,21.1833984375,21.2515625,1006.7179930531481,1007.4888354957055,1007.5901742417752,1007.4310312125479,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9195605401693752,1.9195605401693752,1.6734630350194555
76354.106,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.931640625,21.1833984375,21.256640625,1006.6852823437533,1007.4475874908358,1007.5577672763277,1007.3990545058504,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9523735408560312,1.6898695353627833
76384.108,22.625,21.875,22.0,22.0,22.187,21.3041015625,20.93671875,21.1984375,21.256640625,1006.7265499042369,1007.4492457795591,1007.5732927874943,1007.4181711908677,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9359670405127034,1.5914305333028154
76414.11,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.9470703125,21.193359375,21.271875,1006.7117035575711,1007.4624061663155,1007.553617365528,1007.4107364351471,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9523735408560312,1.5914305333028154
76444.112,22.5,21.875,22.0,22.0,22.187,21.3091796875,20.95234375,21.203515625,21.28203125,1006.7005066685009,1007.4392960482361,1007.5642777599533,1007.3492189358677,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9359670405127034,1.6898695353627833
76474.114,22.5,21.937,22.0,22.0,22.187,21.3041015625,20.9470703125,21.213671875,21.28203125,1006.6808796179926,1007.4161821333604,1007.5081457319436,1007.3240417795802,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9195605401693752,1.5750240329594873
76504.117,22.5,21.875,22.062,21.937,22.187,21.3091796875,20.95234375,21.20859375,21.28203125,1006.671636614184,1007.399598994351,1007.5220304032072,1007.3373195808875,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9359670405127034,1.6734630350194555
76534.119,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.95234375,21.20859375,21.2869140625,1006.6576042048521,1007.3944158224651,1007.5261817987273,1007.3556972588094,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9195605401693752,1.6734630350194555
76564.121,22.5,21.875,22.0,22.0,22.125,21.3041015625,20.9470703125,21.203515625,21.2869140625,1006.6430100061864,1007.3944158224651,1007.5061222906821,1007.3397547615516,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9687800411993592,1.9359670405127034,1.6570565346761272
76594.122,22.5,21.875,22.0,22.0,22.187,21.3091796875,20.95234375,21.213671875,21.2919921875,1006.6528233635443,1007.4095488769428,1007.4815278656835,1007.3329549673933,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9523735408560312,1.5914305333028154
76624.123,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.9470703125,21.21875,21.2869140625,1006.674085645968,1007.3631161124042,1007.5121923907158,1007.3231746850109,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9687800411993592,1.9687800411993592,1.6898695353627833
76654.125,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.95234375,21.21875,21.2970703125,1006.6447711936987,1007.3330587807615,1007.483934622151,1007.3571744680071,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9195605401693752,1.6734630350194555
76684.126,22.5,21.875,22.0,22.0,22.187,21.3091796875,20.9419921875,21.213671875,21.3021484375,1006.5840046646663,1007.3648752664407,1007.4466057017759,1007.293211786233,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9195605401693752,1.6570565346761272
76714.128,22.5,21.875,22.062,22.0,22.187,21.3041015625,20.95234375,21.21875,21.2970703125,1006.5907973351018,1007.3266332632843,1007.4580833646818,1007.2677121835369,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9687800411993592,1.6898695353627833
76744.13,22.5,21.875,22.0,21.937,22.187,21.3091796875,20.9470703125,21.213671875,21.2970703125,1006.561232120573,1007.338241438989,1007.4085105968483,1007.2524124296169,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9523735408560312,1.6570565346761272
76774.132,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.95234375,21.21875,21.3021484375,1006.5726810146291,1007.3265260396104,1007.3900916747516,1007.2303127952583,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9031540398260471,1.6734630350194555
76804.134,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.95234375,21.213671875,21.3021484375,1006.5726810146291,1007.3383418514945,1007.4196051568255,1007.2694121565511,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.8859510185397116,1.9523735408560312,1.9687800411993592,1.6242435339894714
76834.136,22.5,21.875,22.0,22.0,22.187,21.3142578125,20.95234375,21.223828125,21.3021484375,1006.5580859406182,1007.339792631681,1007.4351280421189,1007.2541124019897,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8695445181963837,1.9523735408560312,1.9359670405127034,1.6570565346761272
76864.137,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.95234375,21.213671875,21.3021484375,1006.5402193673915,1007.306733541237,1007.4228844339374,1007.2446524383547,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.8859510185397116,1.9359670405127034,1.9031540398260471,1.6570565346761272
76894.138,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.95234375,21.213671875,21.2970703125,1006.5481476741818,1007.3615585886229,1007.4601061452763,1007.2745120760212,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.9187640192263676,1.9523735408560312,1.9687800411993592,1.5914305333028154
76924.14,22.5,21.875,22.0,22.0,22.187,21.3142578125,20.95234375,21.213671875,21.2869140625,1006.5139255999289,1007.3034169218454,1007.3802538521677,1007.2490124850856,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9359670405127034,1.9523735408560312,1.6242435339894714
76954.141,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.9626953125,21.213671875,21.2869140625,1006.526885457802,1007.3234168132178,1007.4327222668649,1007.26495708853,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9359670405127034,1.9687800411993592,1.6734630350194555
76984.143,22.5,21.875,22.0,22.0,22.187,21.3091796875,20.95234375,21.203515625,21.28203125,1006.533552412075,1007.2899430772734,1007.4114069652055,1007.212581491159,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9195605401693752,1.6570565346761272
77014.145,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.95234375,21.20859375,21.271875,1006.5433658217107,1007.268592434612,1007.4474790207319,1007.2557240979563,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9195605401693752,1.9687800411993592,1.6078370336461434
77044.147,22.5,21.875,22.0,22.0,22.125,21.3091796875,20.9419921875,21.203515625,21.276953125,1006.4926632308255,1007.2484857133104,1007.4163258799784,1007.2135488597935,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9523735408560312,1.9359670405127034,1.6242435339894714
77074.148,22.5,21.875,22.0,22.0,22.187,21.2990234375,20.95234375,21.193359375,21.266796875,1006.5153118810326,1007.2600937709473,1007.3794352339708,1007.1948500877734,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9359670405127034,1.9195605401693752,1.6570565346761272
77104.151,22.5,21.875,22.0,21.937,22.187,21.3041015625,20.9419921875,21.193359375,21.26171875,1006.5041121974187,1007.2851755200404,1007.4163258799784,1007.2060084122254,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.9023575188830397,1.9687800411993592,1.9687800411993592,1.6570565346761272
77134.153,22.5,21.937,22.0,22.0,22.187,21.2990234375,20.93671875,21.203515625,21.26171875,1006.4613390612529,1007.2802005936996,1007.3830974417598,1007.1505579609819,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,0.9023575188830397,1.9195605401693752,1.9195605401693752,1.6078370336461434
77164.154,22.5,21.875,22.0,22.0,22.187,21.3041015625,20.9419921875,21.193359375,21.271875,1006.4483789092993,1007.2286939746909,1007.3453864016079,1007.1580897419199,100,100,100,100,-0.105875,-0.10337500000000001,-0.100875,-0.108375,4.183657587548638,4.183657587548638,4.167251087205311,4.183657587548638,0.8859510185397116,1.9031540398260471,1.9195605401693752,1.6406500343327994
