t(s),T1_ext,T2_ext,T3_ext,T4_ext,T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_180,Turb2_180,Turb3_180,Turb4_180,Turb1_90,Turb2_90,Turb3_90,Turb4_90,Turb1_ref,Turb2_ref,Turb3_ref,Turb4_ref
83284.995,25.25,25.25,25.25,25.187,24.551953125,24.7890625,24.83359375,28.0041015625,1011.3618434524246,1011.8843687600613,1010.7778708384914,1010.9139768351323,92.71333484250516,100,92.27232443855497,77.56978611953959,3.9333700369273967,3.918119571520127,3.8933688161870177,3.8483674428540913,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83314.997,25.25,25.25,25.25,25.187,24.5572265625,24.794140625,24.83359375,28.0041015625,1011.3670030168475,1011.8427640534594,1010.7836621320582,1010.934112977008,92.36457946896394,100,92.29691112665141,77.83581764301914,3.9683711050752284,3.9061192052980136,3.8502425000762965,3.7938657795953246,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83344.999,25.25,25.25,25.25,25.187,24.551953125,24.794140625,24.83359375,27.9939453125,1011.4019288886511,1011.9322417005766,1010.8352227447725,1011.0417334135569,92.42078349720478,100,92.54081358567322,78.09628828326743,3.9639959715567494,3.956620746482742,3.867868037965026,3.794490798669393,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83376.363,25.25,25.25,25.25,25.187,24.551953125,24.7787109375,24.8234375,27.9939453125,1011.3818199811203,1011.8799842967534,1010.8404831149915,1010.9899431158623,92.81084621183777,100,92.27761677583418,77.87139223662166,3.956370738853115,3.927244850001526,3.851242530594806,3.786115543076876,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83406.364,25.25,25.25,25.187,25.187,24.551953125,24.794140625,24.8234375,27.9939453125,1011.4221706571411,1011.9144870171192,1010.7945393955292,1010.9561553135618,92.50225938009827,100,92.26589320894477,77.87732129871218,3.966871059297464,3.954120670186468,3.8652429578539382,3.8042410962248603,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83436.366,25.25,25.25,25.25,25.187,24.551953125,24.7890625,24.83359375,27.9939453125,1011.3483051610287,1011.8764333928841,1010.8376412900454,1011.0098513517337,92.42652004661238,100,92.37726541825154,77.72236876939547,4.012747459334086,3.9237447431867425,3.8244917142246773,3.851492538224433,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83466.368,25.25,25.25,25.25,25.187,24.5572265625,24.7837890625,24.828515625,27.9939453125,1011.3416022008794,1011.8605188468914,1010.7662624095102,1010.9326633228864,92.3806273730099,100,92.51265152670881,77.93661134065172,4.001747123630482,3.9132444227423933,3.8966189153721733,3.8398671834467604,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83496.37,25.25,25.25,25.25,25.187,24.546875,24.79921875,24.83359375,27.9990234375,1011.4591703716046,1011.9455047001234,1010.8436568566005,1011.0180136934339,92.4162101066721,100,92.42472900613365,77.89510842182379,3.983121555223243,3.9764963530381174,3.827991821039461,3.8608678243354593,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83526.371,25.25,25.25,25.25,25.187,24.5572265625,24.79921875,24.848828125,27.9939453125,1011.3501131747497,1011.839917445403,1010.7600462767391,1010.9379255249224,92.85158358792519,100,92.29161878849669,78.20933197525585,3.979871456038087,3.947120456556902,3.878493362224189,3.851617542039247,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83556.373,25.25,25.25,25.25,25.187,24.5572265625,24.804296875,24.84375,27.9990234375,1011.3485695751561,1011.8676207667976,1010.7930522162596,1010.9813253211499,92.27852661669623,100,92.25473884466305,77.97218486053653,3.979496444593646,3.9586208075197606,3.8756182744834744,3.834367015594958,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
83586.375,25.25,25.25,25.25,25.187,24.5572265625,24.794140625,24.838671875,28.0041015625,1011.3621078687218,1011.8691577528772,1010.8296061300814,1010.965767024076,92.07888347604387,100,92.4844878534289,77.84214482339908,3.9449953917050693,3.9538706625568407,3.811116306039613,3.8286168401135288,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
